Repository,ID,URL,PR_State,Total_Comments,Mentioner,Mentioner_Type,Source,Other_Bots
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/657,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/657,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/690,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/690,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/696,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/696,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
chxj1992/shadowsocks-manager-docker,CWE-798,https://github.com/chxj1992/shadowsocks-manager-docker/pull/7,Open,1,soonnae,Human,PR Body,
ledo01-test-org/juice-shop,CWE-798,https://github.com/ledo01-test-org/juice-shop/pull/7,Closed,0,ledo01,Human,PR Body,
ledo01-test-org/juice-shop,CWE-798,https://github.com/ledo01-test-org/juice-shop/pull/7,Closed,0,ledo01,Human,PR Title,
seoonju/dvna,CWE-798,https://github.com/seoonju/dvna/pull/7,Open,0,seoonju,Human,PR Body,
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/71,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/72,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/727,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/727,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/729,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/729,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-nextjs,CWE-798,https://github.com/joshkotrous/pensar-goat-nextjs/pull/74,Closed,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-nextjs,CWE-798,https://github.com/joshkotrous/pensar-goat-nextjs/pull/77,Closed,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
HofCodePlumbers/Codeplumbers,CWE-798,https://github.com/HofCodePlumbers/Codeplumbers/pull/8,Merged,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
ledo01-test-org/juice-shop,CWE-798,https://github.com/ledo01-test-org/juice-shop/pull/8,Closed,0,ledo01,Human,PR Body,
ledo01-test-org/juice-shop,CWE-798,https://github.com/ledo01-test-org/juice-shop/pull/8,Closed,0,ledo01,Human,PR Title,
seoonju/dvna,CWE-798,https://github.com/seoonju/dvna/pull/8,Merged,0,seoonju,Human,PR Body,
yunjin08/book-review-platform,CWE-798,https://github.com/yunjin08/book-review-platform/pull/8,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
Yuvanesh-ux/GPT4ALL-collector,CWE-798,https://github.com/Yuvanesh-ux/GPT4ALL-collector/pull/8,Closed,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/804,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/804,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/809,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/809,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/839,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/839,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/842,Open,0,app/pensarappdev,Bot,PR Body,pensarappdev[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/842,Open,0,app/pensarappdev,Bot,PR Title,pensarappdev[bot]
topoteretes/cognee,CWE-798,https://github.com/topoteretes/cognee/pull/854,Closed,2,app/pensarapp,Bot,PR Body,pensarapp[bot]
topoteretes/cognee,CWE-798,https://github.com/topoteretes/cognee/pull/855,Closed,2,app/pensarapp,Bot,PR Body,pensarapp[bot]
topoteretes/cognee,CWE-798,https://github.com/topoteretes/cognee/pull/858,Closed,2,app/pensarapp,Bot,PR Body,pensarapp[bot]
topoteretes/cognee,CWE-798,https://github.com/topoteretes/cognee/pull/859,Closed,2,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-nextjs,CWE-798,https://github.com/joshkotrous/pensar-goat-nextjs/pull/88,Closed,0,app/pensarappstaging,Bot,PR Body,pensarappstaging[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/887,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/887,Open,0,app/pensarapp,Bot,PR Title,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/888,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/888,Open,0,app/pensarapp,Bot,PR Title,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/890,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
joshkotrous/pensar-goat-python,CWE-798,https://github.com/joshkotrous/pensar-goat-python/pull/890,Open,0,app/pensarapp,Bot,PR Title,pensarapp[bot]
allie-secvendors/AISOC_TM,CWE-798,https://github.com/allie-secvendors/AISOC_TM/pull/9,Open,0,app/pensarapp,Bot,PR Body,pensarapp[bot]
